state_code,state,city,latitude,longitude
IN.37,Chhattisgarh,Bagicha,22.9773,83.65705
IN.36,Uttar Pradesh,Bāghpat,28.94485,77.21865
IN.28,West Bengal,Bagdogra,26.69929,88.31177
IN.23,Punjab,Bagha Purana,30.68809,75.09838
IN.18,Meghalaya,Bāghamāra,25.18954,90.64789
IN.35,Madhya Pradesh,Bāg,22.35905,74.79052
IN.39,Uttarakhand,Bāgeshwar,29.83738,79.77161
IN.19,Karnataka,Bāgepalli,13.78338,77.79667
IN.37,Chhattisgarh,Bāgbahra,21.04606,82.3864
IN.09,Gujarat,Bagasra,21.48719,70.95516
IN.24,Rajasthan,Bagar,28.18784,75.50012
IN.19,Karnataka,Bagalkot,16.18673,75.69614
IN.34,Bihar,Bagaha,27.09918,84.09003
IN.34,Bihar,Bagaha,24.52898,85.06019
IN.02,Andhra Pradesh,Badvel,14.7451,79.06288
IN.28,West Bengal,Badūria,22.74431,88.78655
IN.10,Haryana,Bādshāhpur,28.39317,77.04919
IN.35,Madhya Pradesh,Badnāwar,23.02181,75.23268
IN.16,Maharashtra,Badlapur,19.15516,73.26553
IN.23,Punjab,Badhni Kalān,30.6813,75.29087
IN.12,Jammu and Kashmir,Badgām,34.01524,74.72074
IN.35,Madhya Pradesh,Badarwās,24.97516,77.5649
IN.03,Assam,Badarpur,24.86852,92.59606
IN.19,Karnataka,Bādāmi,15.91495,75.67683
IN.13,Kerala,Badagara,11.59776,75.58142
IN.21,Odisha,Bada Barabīl,22.11186,85.38684
IN.36,Uttar Pradesh,Bachhrāwān,26.4709,81.1158
IN.36,Uttar Pradesh,Bachhraon,28.92694,78.23456
IN.36,Uttar Pradesh,Babugarh,28.72353,77.84677
IN.36,Uttar Pradesh,Babrāla,28.26419,78.4056
IN.09,Gujarat,Bābra,21.84577,71.30544
IN.36,Uttar Pradesh,Babīna,25.23947,78.47028
IN.36,Uttar Pradesh,Baberu,25.54711,80.70443
IN.24,Rajasthan,Babai,27.8876,75.76223
IN.35,Madhya Pradesh,Bābai,22.70256,77.93494
IN.23,Punjab,Bāba Bakāla,31.55545,75.26389
IN.36,Uttar Pradesh,Azamgarh,26.06832,83.18358
IN.25,Tamil Nadu,Ayyampettāi,10.90141,79.17984
IN.25,Tamil Nadu,Ayyampālaiyam,10.22528,77.74849
IN.36,Uttar Pradesh,Ayodhya,26.79909,82.2047
IN.25,Tamil Nadu,Ayakudi,10.44992,77.55198
IN.12,Jammu and Kashmir,Awantipur,33.91978,75.01515
IN.19,Karnataka,Aversa,14.73333,74.3
IN.02,Andhra Pradesh,Avanigadda,16.02148,80.91808
IN.25,Tamil Nadu,Avinashi,11.19297,77.26865
IN.25,Tamil Nadu,Avadi,13.1147,80.10981
